language,family,code,true_value,simulated_mean,sd,z
Old Russian,Indo-European,oldr1238,0.584577922077922,0.7469463068181819,0.03072569077641797,-5.284450264170395
Wichí Lhamtés Güisnay,,wich1264,0.8819444444444444,0.8819444444444444,0.0,
Paicî,Austronesian,paic1239,0.8884920634920634,0.9351974702380953,0.013440398739205231,-3.4750015719246194
Wolio,Austronesian,woli1241,0.625,0.625,0.0,
Middle High German,Indo-European,midd1343,0.5136283469616805,0.735257635882636,0.02718606183490865,-8.152313132620383
Mono (USA),Uto-Aztecan,mono1275,0.7916666666666669,0.7916666666666666,1.4148266844381744e-16,1.5694120514358612
Turung,Tai-Kadai,turu1249,0.5885416666666666,0.5885416666666666,0.0,
Gothic,Indo-European,goth1244,0.7678571428571428,0.7758452380952382,0.0028742967744465543,-2.7791476889624636
Central Tagbanwa,Austronesian,cent2090,0.8904761904761905,0.8723446428571429,0.0075932991022130076,2.3878352972772237
Tzeltal,,tzel1254,0.8256209150326799,0.8276089869281047,0.017266394771742178,-0.11514111206807703
Digo,Atlantic-Congo,digo1243,0.8758838383838384,0.8702442054473305,0.012181746203845925,0.46295767799918797
Udmurt,Uralic,udmu1245,0.8833333333333333,0.8833333333333331,2.220446049250313e-16,1.0
Old Prussian,Indo-European,prus1238,0.65625,0.65625,0.0,
Frisian,Indo-European,fris1239,0.938095238095238,0.8833680555555555,0.01413473232402882,3.8718230586260987
Wiwirano,Austronesian,wiwi1237,0.8125,0.8125,0.0,
South Efate,Austronesian,sout2856,0.8074156746031746,0.8074156746031744,2.1944815577583228e-16,1.0118317200708276
Huasteca Nahuatl,Uto-Aztecan,huas1257,1.0,1.0,0.0,
Cayuga,,cayu1261,0.7305555555555556,0.7305555555555558,2.2739253977848196e-16,-0.976481485018548
Yindjibarndi,Pama-Nyungan,yind1247,0.8117559523809523,0.8231294642857142,0.01353289091113451,-0.8404347585041161
Kunimaipa,Goilalan,kuni1267,0.8666666666666667,0.8666666666666669,2.220446049250313e-16,-1.0
Hiligaynon,Austronesian,hili1240,0.8333333333333334,0.8583072916666667,0.004966999932016588,-5.02797637913275
North Marquesan,Austronesian,nort2845,0.6318336425479282,0.6294793444650588,0.03302132271001085,0.07129629856273499
Koroni,Austronesian,koro1311,0.825,0.8249999999999997,2.220446049250313e-16,1.0
Tadyawan,Austronesian,tady1237,0.763888888888889,0.7698350694444444,0.008384243900909036,-0.7092089192336957
Klon,Timor-Alor-Pantar,kelo1247,,,,
Pintupi-Luritja,Pama-Nyungan,pint1250,0.7982638888888889,0.8340397569444444,0.01179075389367129,-3.0342307521793255
Mohegan-Montauk-Narragansett,Algic,mohe1244,0.8103219696969697,0.8103219696969699,2.1181705310112557e-16,-1.0482848367219182
Bontok,Austronesian,bont1247,0.8430555555555556,0.8821951388888888,0.00919946727838186,-4.254548893859176
Rakahanga-Manihiki,Austronesian,raka1237,0.5104166666666666,0.5104166666666667,8.649770313687834e-17,-1.2835289081240497
Sibe,South Bougainville,sibe1248,0.790625,0.7906250000000002,2.896171627130424e-16,-0.7666831718292775
Southeast Babar,Austronesian,sout2883,0.7625,0.7624999999999998,1.1102230246251565e-16,1.0
Grass Koiari,Koiarian,gras1249,0.70995670995671,0.6985827922077922,0.008602443433548296,1.3221729194476513
Northern Kurdish,Indo-European,nort2641,0.6121031746031745,0.8169117559523809,0.021239791441083847,-9.642683258793577
Waiwai,Cariban,waiw1244,0.8125,0.810061755952381,0.0019897913163275764,1.2253767656998102
Tomadino,Austronesian,toma1248,0.9375,0.9375,0.0,
Avar,Nakh-Daghestanian,avar1256,0.8085227272727273,0.7756620738636364,0.006301010823969326,5.215139971524498
Dhuwal,Pama-Nyungan,dhuw1249,0.8356481481481483,0.7860155423280424,0.009488450877594009,5.230843944959246
Kilivila,Austronesian,kili1267,0.6458333333333333,0.6458333333333333,7.160723346098896e-17,0.0
Boano (Sulawesi),Austronesian,boan1243,0.7321428571428572,0.7476516955266955,0.0031943790768695014,-4.855040059627806
Budza,Atlantic-Congo,budz1238,0.8,0.8000000000000002,1.1102230246251565e-16,-1.0
Bo-Ung,Nuclear Trans New Guinea,boun1245,0.85,0.8499999999999998,2.2616962511116515e-16,0.981761387347632
Guugu Yimidhirr,Pama-Nyungan,gugu1255,0.8187334656084655,0.8337832589285714,0.017956266264090668,-0.8381360077179756
Nivaclé,,niva1238,0.8550000000000001,0.8492841666666666,0.004925988268019617,1.1603424576630992
Nepali,Indo-European,nepa1254,0.8878787878787876,0.8932287878787878,0.017312349159636337,-0.30902796325721577
Tocantins Asurini,Tupian,toca1235,0.7335416666666668,0.7904472916666666,0.012103175861269615,-4.70171016700657
Tonga (Nyasa),Atlantic-Congo,tong1321,0.8777777777777778,0.8866277777777779,0.003865534037498802,-2.2894637362258328
Warlpiri,Pama-Nyungan,warl1254,0.7333002645502645,0.7568602843915344,0.011125551689307154,-2.117649578125063
Oneida,,onei1249,0.6395833333333334,0.6395833333333336,2.2589696723613666e-16,-0.9829463743659809
Big Nambas,Austronesian,bign1238,0.8657421943136231,0.854549136577708,0.014871741084984756,0.7526393629335116
Nahavaq,Austronesian,sout2857,0.925,0.9250000000000003,2.220446049250313e-16,-1.0
Jaru,Pama-Nyungan,jaru1254,0.6654761904761906,0.6681113095238095,0.023219616840543585,-0.11348675844718367
Tongva,Uto-Aztecan,tong1329,0.9727272727272728,0.9624272727272728,0.017128129200743303,0.6013499711079358
Tabla,Sentanic,tabl1243,0.8611111111111112,0.8632638888888889,0.0157302014008439,-0.13685633914784387
Rotuman,Austronesian,rotu1241,0.8363944215506715,0.837217472718254,0.013667368723553374,-0.06022016265384971
Sogeram,Nuclear Trans New Guinea,soge1235,0.8200000000000001,0.789655,0.012861389893786759,2.3593873018855844
Northeast Maidu,,nort2952,0.744047619047619,0.7396630952380953,0.011430587061836809,0.3835781824506868
Pumé,,pume1238,0.660515873015873,0.6983714533730158,0.00934463339758446,-4.051050345851795
Duala,Atlantic-Congo,dual1243,0.7841666666666667,0.8339972321428571,0.009721582402512278,-5.1257669186976305
